Network Size [N];New Packets Avr Delay [Pavr];Bufor Size [L];Time to Live [TTL];Routing Type;Delay;Delay Var;Received Packets;Lost Packets;Hops Avr
2;6;8;32;Random routing;3.22;7.42;139;0;3.03;
4;6;8;32;Random routing;19.88;324.94;430;50;8.62;
8;6;8;32;Random routing;41.93;1186.38;503;1402;9.86;
16;6;8;32;Random routing;40.56;1142.43;342;5162;9.93;
24;6;8;32;Random routing;42.62;1264.22;354;11892;10.03;
32;6;8;32;Random routing;30.9;628.69;167;8594;10.14;
48;6;8;32;Random routing;30.72;612.68;189;16707;9.74;
64;6;8;32;Random routing;24.49;452.33;119;12515;10.19;
2;6;8;32;Intelligent random routing;1.07;0.35;103;0;1.02;
4;6;8;32;Intelligent random routing;7.07;48.39;326;3;5.44;
8;6;8;32;Intelligent random routing;30.11;581.63;495;463;9.2;
16;6;8;32;Intelligent random routing;35.57;831.83;458;2883;9.8;
24;6;8;32;Intelligent random routing;35.65;953.71;529;9520;8.48;
32;6;8;32;Intelligent random routing;33.66;940.1;509;15259;8.56;
48;6;8;32;Intelligent random routing;25.39;391.06;260;11195;8.96;
64;6;8;32;Intelligent random routing;18.98;248.63;168;5780;8.75;
2;6;8;32;Dead reckoning;1.24;0.27;80;0;1.22;
4;6;8;32;Dead reckoning;2.78;3.68;302;0;2.57;
8;6;8;32;Dead reckoning;7.97;68.89;844;285;4.48;
16;6;8;32;Dead reckoning;20.45;381.62;2134;1673;7.78;
24;6;8;32;Dead reckoning;29.39;1081.82;4436;8671;7.7;
32;6;8;32;Dead reckoning;33.4;1313.42;4703;17877;8.7;
48;6;8;32;Dead reckoning;31.03;616.4;2255;22881;11.84;
64;6;8;32;Dead reckoning;25.11;320.04;1525;24954;12.8;
2;6;8;32;Shortest path;1.05;0.36;97;0;1.01;
4;6;8;32;Shortest path;1.96;3.21;496;0;1.81;
8;6;8;32;Shortest path;4.12;24.16;1300;0;3.06;
16;6;8;32;Shortest path;13.02;316.68;3933;210;3.85;
24;6;8;32;Shortest path;17.87;820.69;7371;4030;3.37;
32;6;8;32;Shortest path;21.33;1137.51;8832;8855;3.8;
48;6;8;32;Shortest path;22.6;581.43;5709;11154;6.28;
64;6;8;32;Shortest path;22.16;382.65;4384;15062;7.88;
2;6;8;32;Deflection routing;1.0;0.29;86;0;1.0;
4;6;8;32;Deflection routing;2.94;4.8;295;7;2.94;
8;6;8;32;Deflection routing;5.8;32.34;998;221;5.8;
16;6;8;32;Deflection routing;6.56;124.41;4158;3956;6.56;
24;6;8;32;Deflection routing;8.97;144.96;4539;9320;8.97;
32;6;8;32;Deflection routing;9.87;153.05;5085;18362;9.87;
48;6;8;32;Deflection routing;12.81;116.99;3554;32346;12.81;
64;6;8;32;Deflection routing;16.29;71.3;1488;24690;16.29;
2;6;8;64;Random routing;3.56;13.69;72;0;3.21;
4;6;8;64;Random routing;19.32;330.13;217;12;9.56;
8;6;8;64;Random routing;33.21;701.19;193;312;11.61;
16;6;8;64;Random routing;33.93;631.97;183;1477;11.89;
24;6;8;64;Random routing;36.0;1026.94;223;4976;11.31;
32;6;8;64;Random routing;50.63;1842.15;349;21774;12.73;
48;6;8;64;Random routing;24.77;440.56;152;10582;8.76;
64;6;8;64;Random routing;18.68;223.07;103;5482;8.0;
2;6;8;64;Intelligent random routing;1.38;0.3;73;0;1.33;
4;6;8;64;Intelligent random routing;7.33;49.11;166;0;5.86;
8;6;8;64;Intelligent random routing;29.3;696.43;401;148;11.03;
16;6;8;64;Intelligent random routing;30.63;789.65;359;1829;9.97;
24;6;8;64;Intelligent random routing;38.04;1312.01;494;7497;10.3;
32;6;8;64;Intelligent random routing;29.15;695.17;323;5842;9.46;
48;6;8;64;Intelligent random routing;24.6;502.14;276;9477;9.01;
64;6;8;64;Intelligent random routing;18.77;217.4;176;4764;8.43;
